ID,LAT,LON,Mills,PLT_CN,Conserve,ELEV,Ownership,SWMills,PulpMills,AVG_val_ac,TG_val_ac,BioTot,BioPulp,BioPallet,BioSaw,BioLD,L_BioTot,L_BioPulp,L_BioPallet,L_BioSaw,L_BioLD,BioForestType,BioPulpLD,L_BioPulpLD,HarvTot,HarvPulp,HarvSawlog,HarvPallet,HarvLD,HarvSawPulp,ratioTot,ratioPulp,ratioSawlog_0,ratioSawlog,ratioPallet,ratioLD,ChoiceTot,ChoicePulp,ChoiceSawlog_0,ChoiceSawlog,ChoicePallet,ChoiceLD,County,PPI(2016),PricePulp_county,PriceSaw_county,PricePallet_county,PriceBolt_county,PriceBiomass_county,PricePulp_county0,PriceSaw_county0,PricePallet_county0,PriceBolt_county0,PriceBiomass_county0,near_dist,Distance.roadsegment.,Distance.Rail.,Distance.national_highway.,Distance.State.road.,Year,Conservation_Type,Coastal,Megarion,Area_ha,Area_ac
31,45.672,-68.2683,12,7.06E+13,0,124.396027,TIMO/REIT,12,3,412,156,28.39527207,2.25957856,0,0,26.13569351,12.17616422,0.383582363,0,0,11.79258186,Mixed,28.39527207,12.17616463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aroostook,5.797583082,10.01903037,30.09355669,11.75992679,13.58069186,2.74394069,1.728139162,5.190707277,2.028418847,2.34247473,0.473290447,0.58479923,0.002440279,0.127046843,0.011905791,0.198577266,2006,0,0,Southern,3085.71,7624.963126
32,45.67605,-67.83971,3,7.58E+13,0,151.803192,CORPORATE,3,0,412,156,117.5128629,33.03935705,3.917980246,13.54377184,70.92973397,102.749297,30.67367655,2.79490421,14.12529881,57.95032167,Mixed,103.969091,88.62400055,0.581526969,0,0.581526969,0,0,1.704603005,0.005659669,0,0.150445158,0.04116918,0,0,1,0,1,1,0,0,Aroostook,5.797583082,9.030343178,28.28898269,11.75992679,13.58069186,2.74394069,1.55760479,4.879444122,2.028418847,2.34247473,0.473290447,0.847745657,0.002284979,0.033035832,0.017262329,0.459146815,2006,0,0,Southern,4020.16,9934.03981
33,45.6769,-68.04535,7,7.04E+13,0,159.715607,TIMO/REIT,7,1,412,156,86.86690257,29.72243341,0.047683003,16.12305326,41.02141591,67.59067064,21.43844286,0,12.0529031,34.09932469,Mixed,70.74384932,55.53776932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aroostook,5.797583082,10.1972406,28.28898269,11.75992679,13.58069186,2.74394069,1.758877873,4.879444122,2.028418847,2.34247473,0.473290447,0.628284693,0.011152098,0.008686704,0.011416162,0.387645371,2006,0,0,Southern,5336.01,13185.56881
34,45.68206,-68.39775,13,7.58E+13,0,172.414429,TIMO/REIT,13,3,412,156,45.79963595,3.000421418,0.00623084,0.340980518,42.45823401,15.27783405,0.126325938,0,0,15.15150811,HW,45.45865543,15.27783394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aroostook,5.797583082,6.958820189,28.28898269,11.75992679,13.58069186,2.74394069,1.20029676,4.879444122,2.028418847,2.34247473,0.473290447,1.746547341,2.59E-05,0.147761506,0.033728552,0.082855595,2006,0,0,Southern,4288.78,10597.80496
35,45.6946,-67.85877,5,7.06E+13,0,237.844131,FAMILY,5,0,412,156,63.01741381,14.9368205,0,6.213044145,41.86754916,40.82425017,9.226937659,0,3.939129521,27.65818299,Mixed,56.80436966,36.88512039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aroostook,5.797583082,9.325534049,28.28898269,11.75992679,13.58069186,2.74394069,1.608520985,4.879444122,2.028418847,2.34247473,0.473290447,0.176184699,0.002615306,0.031577648,0.003344011,0.441835429,2006,0,0,Southern,2350.96,5809.348127
36,45.70683,-68.35666,12,7.58E+13,0,139.743652,TIMO/REIT,12,3,412,156,145.6466412,40.48326683,0.978849821,11.86942652,93.29394789,124.1493142,34.23874246,0.651382944,10.00340016,79.90717157,Mixed,133.7772147,114.1459122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aroostook,5.797583082,10.21308604,30.03513681,11.75992679,13.58069186,2.74394069,1.761610985,5.180630684,2.028418847,2.34247473,0.473290447,0.503041863,0.005129891,0.171079229,0.009432915,0.103929021,2006,0,0,Southern,5085.95,12567.6667
37,45.71514,-68.01725,9,7.58E+13,0,117.221275,CORPORATE,9,1,412,156,101.8538184,7.43529797,0.01386588,2.905683839,91.51283663,72.87393163,4.477482868,0,1.290312835,67.10613593,Mixed,98.9481346,71.58361816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aroostook,5.797583082,9.755068706,28.28898269,11.75992679,13.58069186,2.74394069,1.682609558,4.879444122,2.028418847,2.34247473,0.473290447,0.927366674,0.013020908,0.042583603,0.016291486,0.379540228,2006,0,0,Southern,2610.69,6451.16041
38,45.71847,-68.21529,12,7.04E+13,0,130.801514,CORPORATE,12,3,412,156,140.1917196,46.97315801,3.785325145,5.770033176,87.44852845,122.5421109,40.26304351,3.209621888,4.532997237,77.74607014,Mixed,134.4216865,118.0091171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aroostook,5.797583082,9.845429251,29.67081677,11.75992679,13.58069186,2.74394069,1.698195457,5.117790699,2.028418847,2.34247473,0.473290447,2.630152702,0.021600153,0.15157003,0.045643921,0.225581078,2006,0,0,Southern,4489.72,11094.33733
39,45.7219,-68.16827,12,7.58E+13,0,131.72168,CORPORATE,12,3,412,156,130.9312903,44.02194258,2.896279566,32.56966886,54.33967885,149.7688781,59.65834497,2.76307766,45.58364913,44.52688398,SW,98.36162143,104.1852264,28.65038266,15.63640239,13.01398027,0,0,28.78358457,0.191297304,0.262099165,0.307029582,0.285496675,0,0,1,1,1,1,0,0,Aroostook,5.797583082,11.69590051,28.28898269,11.75992679,13.58069186,2.74394069,2.017375231,4.879444122,2.028418847,2.34247473,0.473290447,0.863134205,0.003815816,0.119517817,0.016055771,0.269200614,2006,0,0,Southern,4178.6,10325.55473
40,45.72448,-67.93451,8,7.58E+13,0,116.166977,FAMILY,8,0,412,156,120.0406247,35.68715888,4.026925044,14.67178756,69.68167823,97.93122522,33.16411196,3.650300754,11.65108562,53.11602764,Mixed,105.3688371,86.28013611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aroostook,5.797583082,10.24101236,28.28898269,11.75992679,13.58069186,2.74394069,1.766427875,4.879444122,2.028418847,2.34247473,0.473290447,0.518536091,0.008789611,0.044476628,0.009941479,0.413144045,2006,0,0,Southern,5270.73,13024.25113
