LAT,LON,COUNTY,2001_TotB,2006_TotB,2011_TotB,2016_TotB,2001_PulpB,2006_PulpB,2011_PulpB,2016_PulpB,2001_PalletB,2006_PalletB,2011_PalletB,2016_PalletB,2001_SawB,2006_SawB,2011_SawB,2016_SawB,2001_LDB,2006_LDB,2011_LDB,2016_LDB,2001_TotH,2006_TotH,2011_TotH,2016_TotH,2001_PulpH,2006_PulpH,2011_PulpH,2016_PulpH,2001_PalletH,2006_PalletH,2011_PalletH,2016_PalletH,2001_SawH,2006_SawH,2011_SawH,2016_SawH,2001_LDH,2006_LDH,2011_LDH,2016_LDH
46.970552,-69.433554,Aroostook,0,186.1,219.1,292,0,85.8,99.5,106.5,0,2.5,2.7,2.7,0,45.80118976,53.55015931,59.54574018,0,54.5,66,125.9,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
46.97184,-68.92821,Aroostook,91.3,90.5,110.5,122.2,30.6,33.7,39.2,44.7,2.3,2.5,4.5,6.1,15.03757051,17.7163038,20.28335975,24.13665323,45.7,39,51,53.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.972125,-68.827503,Aroostook,0,174.7,185.7,174.5,0,51.6,62.1,59,0,5.3,5.9,6.6,0,46.89057451,54.52117923,48.52111579,0,76.2,69.2,67,0,NA,0,18.52158966,0,NA,0,6.61630837,0,0,0,0,0,NA,0,6.390348493,0,NA,0,5.514932801
46.97402,-68.54911,Aroostook,140.9,151.3,0,0,27.2,31,0,0,6.9,6.8,0,0,19.94458638,23.35039971,0,0,93.7,97,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA
46.974915,-69.021402,Aroostook,0,86.9,105,114.6,0,30.4,37,41.8,0,5,6.2,7.4,0,18.02974816,20.6661405,27.3824294,0,38.4,47.3,45.5,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
46.977312,-68.506853,Aroostook,0,0,88.8,0.2,0,0,39.1,0.1,0,0,1.9,0,0,0,26.02201842,0,0,0,23.7,0.2,0,NA,NA,NA,0,NA,NA,NA,0,0,0,1.9,0,NA,NA,NA,0,NA,NA,NA
46.97932,-68.02883,Aroostook,0,48.7,84.7,87.3,0,10,16.9,19.6,0,0.2,0.3,0.5,0,5.463499837,12.08340498,15.89433392,0,33.2,55.7,51.8,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
46.98071,-68.355961,Aroostook,0,56.7,83.9,108.8,0,8.8,12,16,0,0,0,0.2,0,1.524007564,2.863130331,4.682359938,0,46.3,69,88.2,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
46.98121,-68.88214,Aroostook,187.1,199.3,207.2,186.6,68.4,72,74.6,72.6,0,0,0.2,0.4,20.88351594,22.64425951,21.46323225,17.66664153,97.8,104.7,111.2,96.3,0,0,0,77.38184133,0,0,0,3.25932194,0,0,0,0,0,0,0,2.90129259,0,0,0,71.2212268
46.98189,-69.24086,Aroostook,200.8,228.5,238.2,219,97.4,111,114.3,111.6,1.8,2.6,3.7,4.7,14.61142452,18.33163584,20.92877439,15.01489506,88.8,99.2,103,92.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.98444,-69.61657,Aroostook,127.7,157.6,162.5,210,39.5,43,46.8,61.9,0.1,0.1,0.1,0.3,14.95403519,17.87802584,21.44246244,31.83629714,73.2,96.7,94.2,116.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.98475,-68.56301,Aroostook,159.4,72.5,98.8,95.4,57.9,30.2,41.3,35.5,0,0,0,0,9.98964659,9.292270295,13.96627733,12.30510724,91.6,33,43.5,47.5,0,286.0550868,0,0,0,105.4495283,0,0,0,0,0,0,0,9.235852395,0,0,0,171.3697061,0,0
46.9861,-69.47961,Aroostook,16.2,20.8,29.1,12.9,2.1,3,2.4,3.7,0,0,0,0,0,0.102778878,0.490497324,1.193489973,14.1,17.7,26.2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.98639,-68.28327,Aroostook,36.9,57.1,63.4,64.7,12.1,21.9,26.1,31.5,0,0,0,0,8.299345005,15.98548083,19.36140228,25.07909262,16.5,19.3,17.9,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.98745,-67.89786,Aroostook,215.2,258.8,289.1,295.7,56,58.8,67.3,68.3,0.4,0.7,1.2,1.6,43.95133565,43.22599807,47.3900602,49.5941254,115.2,156.8,174.4,177.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.98747,-68.72669,Aroostook,85.4,86.6,4.4,9.1,20.6,26.5,1.9,4.7,1.8,2.7,0,0,15.41696706,20.86932364,1.532662285,4.49858913,49.4,39.2,0.9,-0.1,0,0,81.20754481,0,0,0,25.7081177,0,0,0,2.8,0,0,0,20.05758968,0,0,0,35.44183744,0
46.9889,-68.13383,Aroostook,126,70.1,78.6,94.7,57.6,30.6,34,42.6,1.2,1.3,1.2,1.2,16.43677772,5.00284092,4.209924285,4.681375361,51.9,34.5,40.3,47.4,0,56.37951063,0,0,0,28.70562923,0,0,0,0,0,0,0,10.35467969,0,0,0,17.31920172,0,0
46.99059,-69.12012,Aroostook,163.8,0,11.9,32.8,71.1,0,0,0.8,4.8,0,0,0,59.68857915,0,0,0,33,0,11.9,32,0,NA,NA,0,0,NA,NA,0,0,4.8,0,0,0,NA,NA,0,0,NA,NA,0
46.9915,-68.21203,Aroostook,128.8,137.4,140.7,141.3,54.9,60.1,65.6,71.3,11.7,13.4,14.5,15.6,32.47471519,37.61255328,43.28438051,47.09483042,41.5,39.7,31.8,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.993652,-69.168941,Aroostook,0,168.9,71.6,79.1,0,66,35.4,38.5,0,10,7.6,8.3,0,42.11092791,21.69273892,24.73887103,0,60.8,14.5,15.9,0,NA,120.2529807,0,0,NA,41.37011656,0,0,0,6.3,0,0,NA,31.90211024,0,0,NA,46.98075394,0
46.99475,-67.83476,Aroostook,57.2,65,73.1,39,14.9,14.2,13.5,15.4,0,0,0,0,0,0.15366351,0.33658317,0.729160451,42.3,50.6,59.3,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.99853,-68.545581,Aroostook,0,325.8,342,307.9,0,79.5,86.5,77.8,0,15.9,16.3,13.1,0,61.25406536,67.96858562,65.9231559,0,185,187.5,164.2,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
47.00134,-68.42241,Aroostook,0,235.2,180.9,130,0,47.1,54.7,49.1,0,2,3.9,6.5,0,32.23310696,33.4903251,32.54883865,0,155.9,92.7,48.3,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
